Tid,Task Name,Start Date,End Date,Slack (days)
1,Start order,2022-05-09,2022-05-09,42.14285714285714
2,drilling,2022-05-10,2022-05-13,41.42857142857143
3,OSB placement,2022-05-18,2022-05-19,120.0
4,Floor iron and electricity,2022-05-18,2022-05-24,39.285714285714285
5,Eng approval,2022-05-25,2022-05-26,38.57142857142857
6,Floor cement,2022-05-27,2022-05-27,37.85714285714286
7,Walls and Mamad,2022-06-01,2022-06-06,34.285714285714285
8,Windos open,2022-06-07,2022-06-08,104.28571428571428
9,Wall closing,2022-06-09,2022-06-13,103.57142857142857
10,Mamad walls and electricity preparation,2022-06-07,2022-06-15,32.14285714285714
11,Walls 3.05,2022-06-16,2022-06-16,32.85714285714286
12,Second floor preparation,2022-06-17,2022-06-21,32.14285714285714
13,Ceiling iron,2022-06-22,2022-06-23,30.0
14,Electricity preparation,2022-06-24,2022-06-27,29.285714285714285
15,Eng approval,2022-06-28,2022-06-28,27.142857142857142
16,Second floor cement,2022-06-29,2022-06-29,26.42857142857143
17,Second floor walls,2022-06-30,2022-07-06,25.714285714285715
18,Blocks,2022-07-07,2022-07-11,25.0
19,Cement approval,2022-07-12,2022-07-12,24.285714285714285
20,Wall cement,2022-07-13,2022-07-14,23.57142857142857
21,Second floor walls,2022-07-15,2022-07-22,22.857142857142858
22,AC preparations,2022-07-27,2022-07-29,19.285714285714285
23,Eng approval,2022-08-03,2022-08-04,65.0
24,Service floor cement,2022-08-03,2022-08-05,60.714285714285715
25,External walls,2022-08-03,2022-08-05,15.714285714285715
26,First floor ceiling dismental,2022-08-03,2022-08-08,63.57142857142857
27,Second floor ceiling dismental,2022-07-07,2022-07-11,33.57142857142857
28,General cleaning,2022-08-10,2022-08-15,58.57142857142857
29,First block,2022-07-12,2022-07-14,31.42857142857143
30,First floor blocks,2022-07-15,2022-07-19,75.0
31,Electricity marking with family,2022-07-20,2022-07-22,74.28571428571428
32,Door preparation,2022-08-10,2022-08-23,13.571428571428571
33,Second floor-first block,2022-08-24,2022-08-29,11.428571428571429
34,Second floor-walls,2022-08-24,2022-09-23,29.285714285714285
35,Electricity marking2,2022-08-30,2022-09-07,40.714285714285715
36,Sanitary preparations,2022-08-24,2022-08-25,50.0
37,Sanitary preparations second floor,2022-08-30,2022-09-02,10.714285714285715
38,Plaster internal,2022-09-07,2022-09-09,8.571428571428571
39,Roof placement,2022-09-16,2022-09-19,14.285714285714285
40,Insulation,2022-09-14,2022-09-15,15.0
41,Wood galery,2022-09-20,2022-09-22,30.0
42,Roof finish,2022-09-20,2022-09-23,29.285714285714285
43,External plaster,2022-09-20,2022-09-21,12.142857142857142
44,Balcony insulation,2022-09-22,2022-09-27,12.857142857142858
45,Internal plaster finishing,2022-09-14,2022-09-20,5.0
46,flooring,2022-09-28,2022-10-17,10.714285714285715
47,Plastering,2022-09-21,2022-10-04,4.285714285714286
48,Paint 1 hand,2022-10-18,2022-10-18,10.0
49,External plaster,2022-10-05,2022-10-06,3.571428571428571
50,Aluminum installation,2022-10-19,2022-10-20,9.285714285714285
51,pergola,2022-10-07,2022-10-13,2.857142857142857
52,Rails,2022-10-21,2022-10-24,8.571428571428571
53,External development,2022-10-14,2022-11-02,2.142857142857143
54,Delivery,2022-11-03,2022-11-03,0.0
